CountryName,Entity,Year,Records,Sector,Method
United States,Educational Credit Management Corporation,2010,3300000,Healthcare,Physical Loss
United States,Eisenhower Medical Center,2011,514330,Tech,Physical Loss
United States,ElasticSearch,2019,108000000,Government,Inadequate Security
United States,Embassy Cables,2010,251000,Healthcare,Insider Threat
United States,"Emergency Healthcare Physicians, Ltd.",2010,180111,Healthcare,Physical Loss
United States,Emory Healthcare,2012,315000,Financial,Inadequate Security
United States,Equifax,2017,163119000,Tech,Inadequate Security
United States,Evernote,2013,50000000,Security,Cyber Attack
United States,Exactis,2018,340000000,Healthcare,Inadequate Security
United States,Excellus BlueCross BlueShield,2015,10000000,Telecom,Cyber Attack
United States,Experian - T-Mobile US,2015,15000000,Tech,Cyber Attack
United States,Facebook,2013,6000000,Tech,Accidental Disclosure
United States,Facebook,2018,50000000,Tech,Inadequate Security
Japan,Facebook,2019,540000000,Tech,Inadequate Security
United States,Facebook,2019,1500000,Retail,Accidental Disclosure
United States,Facebook,2019,267000000,Financial,Inadequate Security
United States,Fast Retailing,2019,461091,Financial,Cyber Attack
United States,Federal Reserve Bank of Cleveland,2010,400000,Financial,Cyber Attack
United States,Fidelity National Information Services,2007,8500000,Government,Insider Threat
United States,First American Corporation,2019,885000000,Tech,Inadequate Security
United States,Florida Department of Juvenile Justice,2013,100000,Tech,Physical Loss
United States,Friend Finder Networks,2016,412214295,Tech,Inadequate Security
United States,Funimation,2016,2500000,Data,Cyber Attack
United States,Formspring,2012,420000,Tech,Accidental Disclosure
Germany,Unknown,2020,201000000,Retail,Inadequate Security
United States,Gamigo,2012,8000000,Tech,Cyber Attack
United States,Gap Inc.,2007,800000,Financial,Physical Loss
United States,Gawker,2010,1500000,Tech,Cyber Attack
United States,Global Payments,2012,7000000,Tech,Cyber Attack
United States,Gmail,2014,5000000,Government,Cyber Attack
Greece,Google Plus,2018,500000,Healthcare,Inadequate Security
Lithuania,Greek government,2012,9000000,Energy,Cyber Attack
South Korea,Grozio Chirurgija,2017,25000,Retail,Cyber Attack
United States,GS Caltex,2008,11100000,Retail,Insider Threat
United States,Hannaford Brothers Supermarket Chain,2007,4200000,Healthcare,Cyber Attack
United States,HauteLook,2018,28517244,Healthcare,Cyber Attack
United States,Health Net,2009,500000,Healthcare,Physical Loss
United States,Health Net — IBM,2011,1900000,Financial,Physical Loss
United States,Health Sciences Authority (Singapore),2019,808000,Tech,Inadequate Security
United States,Heartland,2009,130000000,Hospitality,Cyber Attack
Canada,Hewlett Packard,2006,200000,Retail,Physical Loss
United States,Hilton Hotels,2015,363000,Retail,Cyber Attack
United States,Home Depot,2014,56000000,Tech,Cyber Attack
Canada,Honda Canada,2011,283000,Financial,Inadequate Security
Iran,Instagram,2020,200000000,Healthcare,Inadequate Security
Japan,Internal Revenue Service,2015,720000,Financial,Cyber Attack
Japan,Inuvik hospital,2016,6700,Government,Insider Threat
United States,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,Retail,Cyber Attack
United States,Japan Pension Service,2015,1250000,Government,Cyber Attack
United States,Japanet Takata,2004,510000,Financial,Insider Threat
India,"Jefferson County, West Virginia",2008,1600000,Financial,Accidental Disclosure
Japan,JP Morgan Chase,2010,2600000,Security,Physical Loss
United States,JP Morgan Chase,2014,76000000,Telecom,Cyber Attack
South Korea,Justdial,2019,100000000,Education,Misconfiguration
United States,KDDI,2006,4000000,Tech,Cyber Attack
South Korea,Kirkwood Community College,2013,125000,Financial,Cyber Attack
United States,KM.RU,2016,1500000,Tech,Cyber Attack
Canada,Korea Credit Bureau,2014,20000000,Telecom,Insider Threat
United States,Kroll Background America,2013,1000000,Tech,Cyber Attack
United States,KT Corporation,2012,8700000,Healthcare,Cyber Attack
United States,LexisNexis,2014,1000000,Healthcare,Cyber Attack
United States,LifeLabs,2019,15000000,Tech,Cyber Attack
United States,Lincoln Medical & Mental Health Center,2010,130495,Tech,Physical Loss
United States,"LinkedIn, eHarmony, Last.fm",2012,8000000,Tech,Accidental Disclosure
United States,Living Social,2013,50000000,Hospitality,Cyber Attack
United States,MacRumors.com,2014,860000,Hospitality,Cyber Attack
United States,Marriott International,2018,500000000,Government,Cyber Attack
United States,Marriott International,2020,5200000,Financial,Inadequate Security
United States,Massachusetts Government,2011,210000,Government,Cyber Attack
United States,Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,Healthcare,Cyber Attack
United States,US Medicaid,2012,780000,Healthcare,Cyber Attack
Japan,Medical Informatics Engineering,2015,3900000,Retail,Physical Loss
United States,Memorial Healthcare System,2011,102153,Tech,Cyber Attack
Australia,Michaels,2014,3000000,Defense,Misconfiguration
United States,Microsoft,2019,250000000,Government,Accidental Disclosure
United States,Militarysingles.com,2012,163792,Healthcare,Accidental Disclosure
United States,Ministry of Education (Chile),2008,6000000,Financial,Inadequate Security
United States,Ministry of Health (Singapore),2019,14200,Tech,Malicious Intent
United States,Mitsubishi Tokyo UFJ Bank,2006,960000,Tech,Inadequate Security
China,MongoDB,2019,202000000,Telecom,Inadequate Security
China,MongoDB,2019,275000000,Tech,Misconfiguration
United States,Mobile TeleSystems (MTS),2019,100000000,Financial,Cyber Attack
United States,Monster.com,2007,1600000,Tech,Physical Loss
United States,Morgan Stanley Smith Barney,2011,34000,Data,Inadequate Security
United Kingdom,Mozilla,2014,76000,Retail,Unknown
United States,MyHeritage,2018,92283889,Healthcare,Cyber Attack
United States,Neiman Marcus,2014,1100000,Tech,Physical Loss
Philippines,Nemours Foundation,2011,1055489,Healthcare,Cyber Attack
United States,Network Solutions,2009,573000,Energy,Physical Loss
United States,New York City Health & Hospitals Corp.,2010,1700000,Transport,Insider Threat
United States,New York State Electric & Gas,2012,1800000,Tech,Inadequate Security
United States,New York Taxis,2014,52000,Healthcare,Cyber Attack
United States,Nexon Korea Corp,2011,13200000,Gaming,Physical Loss
United States,NHS,2011,8300000,Gaming,Cyber Attack
Japan,Nintendo (Club Nintendo),2013,240000,Media,Cyber Attack
United States,Nintendo (Nintendo Account),2020,160000,Gaming,Cyber Attack
United States,Nippon Television,2016,430000,Government,Cyber Attack
Canada,Nival Networks,2016,1500000,Financial,Accidental Disclosure
France,Norwegian Tax Administration,2008,3950000,Government,Malicious Intent
United States,Now:Pensions,2020,30000,Government,Cyber Attack
United Kingdom,US Office of Personnel Management,2015,21500000,Education,Accidental Disclosure
United States,Office of the Texas Attorney General,2012,6500000,Tech,Cyber Attack
United States,Ohio State University,2010,760000,Tech,Cyber Attack
United States,Orbitz,2018,880000,Financial,Cyber Attack
United States,Patreon,2015,2300000,Fashion,Misconfiguration
United States,PayPay,2020,20076016,Healthcare,Cyber Attack
United States,Popsugar,2018,123857,Healthcare,Cyber Attack
United States,Premera,2015,11000000,Healthcare,Cyber Attack
United States,Puerto Rico Department of Health,2010,515000,Education,Inadequate Security
United States,Quest Diagnostics,2019,11900000,Tech,Cyber Attack
United States,Quora,2018,100000000,Tech,Misconfiguration
United States,Rakuten,2020,1381735,Financial,Cyber Attack
United States,Rambler.ru,2012,98167935,Retail,Cyber Attack
United States,RBS Worldpay,2008,1500000,Gaming,Cyber Attack
United States,Restaurant Depot,2011,200000,Government,Cyber Attack
United States,RockYou!,2009,32000000,Government,Insider Threat
United States,"Sakai City, Japan",2015,680000,Financial,Cyber Attack
United States,San Francisco Public Utilities Commission,2011,180000,Tech,Cyber Attack
United States,Scottrade,2015,4600000,Healthcare,Cyber Attack
United States,Scribd,2013,500000,Gaming,Cyber Attack
United States,"Seacoast Radiology, PA",2010,231400,Government,Cyber Attack
United States,Sega,2011,1290755,Government,Physical Loss
United States,Service Personnel and Veterans Agency (UK),2008,50500,Tech,Cyber Attack
United States,SingHealth,2018,1500000,Retail,Inadequate Security
United States,Slack,2015,500000,Tech,Inadequate Security
United States,SlickWraps,2020,377428,Gaming,Cyber Attack
United States,SnapChat,2013,4700000,Tech,Cyber Attack
United States,Sony Online Entertainment,2011,24600000,Gaming,Cyber Attack
United States,Sony Pictures,2011,1000000,Government,Cyber Attack
United States,Sony PlayStation Network,2011,77000000,Healthcare,Cyber Attack
United States,South Africa police,2013,16000,Healthcare,Insider Threat
United States,South Carolina Government,2012,6400000,Healthcare,Physical Loss
United States,"South Shore Hospital, Massachusetts",2010,800000,Healthcare,Cyber Attack
United States,Southern California Medical-Legal Consultants,2011,300000,Education,Physical Loss
Japan,Spartanburg Regional Healthcare System,2011,400000,Retail,Physical Loss
United States,Stanford University,2008,72000,Government,Physical Loss
United States,Starbucks,2008,97000,Tech,Accidental Disclosure
United States,State of Texas,2011,3500000,Retail,Cyber Attack
United States,Steam,2011,35000000,Defense,Cyber Attack
United States,StockX,2019,6800000,Healthcare,Accidental Disclosure
United States,Stratfor,2011,935000,Government,Physical Loss
United States,Sutter Medical Center,2011,4243434,Retail,Cyber Attack
United States,Syrian government (Syria Files),2012,2434899,Tech,Cyber Attack
United States,Taobao,2016,20000000,Retail,Cyber Attack
United States,Taringa!,2017,28722877,Tech,Cyber Attack
United States,Target Corporation,2013,110000000,Financial,Cyber Attack
United States,TaxSlayer.com,2016,8800,Financial,Cyber Attack
United States,TD Ameritrade,2007,6300000,Telecom,Cyber Attack
United States,TD Bank,2012,260000,Business,Accidental Disclosure
United States,TerraCom & YourTel,2013,170000,Government,Inadequate Security
United States,Tetrad,2020,120000000,Entertainment,Insider Threat
United States,Texas Lottery,2007,89000,Tech,Cyber Attack
United States,Ticketfly (subsidiary of Eventbrite),2018,26151608,Tech,Cyber Attack
United States,Tianya Club,2011,28000000,Retail,Inadequate Security
United States,TikTok,2020,42000000,Telecom,Cyber Attack
United States,TK / TJ Maxx,2007,94000000,Telecom,Physical Loss
United States,"T-Mobile, Deutsche Telekom",2006,17000000,Defense,Cyber Attack
United States,T-Mobile,2021,45000000,Healthcare,Physical Loss
United States,Tricare,2011,4901432,Communication,Physical Loss
United States,"Triple-S Salud, Inc.",2010,398000,Tech,Unknown
United States,Truecaller,2019,299055000,Tech,Cyber Attack
United States,Tumblr,2013,65469298,Tech,Cyber Attack
United States,Twitter,2013,250000,Transport,Inadequate Security
United States,Uber,2014,50000,Tech,Cyber Attack
United States,Uber,2017,57000000,Healthcare,Cyber Attack
United States,Ubuntu,2013,2000000,Government,Cyber Attack
United States,"UCLA Medical Center, Santa Monica",2015,4500000,Government,Physical Loss
United States,UK Home Office,2008,84000,Government,Physical Loss
United States,UK Ministry of Defence,2008,1700000,Education,Physical Loss
United States,UK Revenue & Customs,2007,25000000,Consumer,Cyber Attack
United States,Universiti Teknologi MARA,2019,1164540,Education,Cyber Attack
United States,Under Armour,2018,150000000,Education,Cyber Attack
United States,"University of California, Berkeley",2009,160000,Education,Cyber Attack
United States,"University of California, Berkeley",2016,80000,Education,Cyber Attack
United States,"University of Maryland, College Park",2014,300000,Education,Cyber Attack
United States,University of Central Florida,2016,63000,Education,Physical Loss
United States,University of Miami,2008,2100000,Education,Physical Loss
United States,University of Utah Hospital & Clinics,2008,2200000,Government,Cyber Attack
United States,University of Wisconsin–Milwaukee,2011,73000,Military,Inadequate Security
United States,United States Postal Service,2018,60000000,Government,Accidental Disclosure
United States,U.S. Army,2011,50000,Military,Insider Threat
United States,U.S. Army(classified Iraq War documents),2010,392000,Government,Physical Loss
United States,U.S. Department of Defense,2009,72000,Defense,Physical Loss
United States,U.S. Department of Veteran Affairs,2006,26500000,Government,Accidental Disclosure
United States,U.S. law enforcement (70 different agencies),2011,123461,Military,Physical Loss
United States,National Archives and Records Administration (U.S. military veterans records),2009,76000000,Military,Insider Threat
United States,U.S. government (United States diplomatic cables leak),2010,260000,Military,Physical Loss
United States,National Guard of the United States,2009,131000,Healthcare,Cyber Attack
United States,Vastaamo,2020,130000,Telecom,Cyber Attack
United States,Verizon Communications,2016,1500000,Marketing & Advertising,Cloud Misconfiguration
United States,View Media,2020,38000000,Telecom,Accidental Exposure
United States,Virgin Media,2020,900000,Government,Cyber Attack
United States,Virginia Department of Health,2009,8257378,Healthcare,Cyber Attack
United States,Virginia Prescription Monitoring Program,2009,531400,Telecom,Insider Threat
United States,Vodafone,2013,2000000,Retail,Cyber Attack
United States,VTech,2015,5000000,Retail,Cyber Attack
United States,Walmart,2015,1300000,Media,Cyber Attack
United States,Washington Post,2011,1270000,Government,Cyber Attack
United States,Washington State court system,2013,160000,Tech,Cyber Attack
United States,Wattpad,2020,270000000,Retail,Cyber Attack
United States,Wawa (company),2020,30000000,Tech,Cyber Attack
United States,Weebly,2016,43430316,Tech,Cyber Attack
United States,Writerspace.com,2011,62000,Tech,Social Engineering
United States,Xat.com,2015,6054459,Tech,Cyber Attack
United States,Yahoo,2013,3000000000,Tech,Cyber Attack
United States,Yahoo,2014,500000000,Tech,Cyber Attack
United States,Yahoo Japan,2013,22000000,Education,Cyber Attack
United States,Yahoo! Voices,2012,450000,Tech,Accidental Disclosure
United States,Yale University,2010,43000,Tech,Inadequate Security
United States,YouTube,2020,4000000,Social Media,Cyber Attack
United States,Zappos,2012,24000000,Tech,Cyber Attack
United States,Zynga,2019,173000000,Tech,Cyber Attack
United States,Westpac,2019,98000,Financial,Accidental Disclosure
United States,Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,Financial,Inadequate Security
United States,National Health Information Center (NCZI) of Slovakia,2020,391250,Healthcare,Unknown
Slovakia,Les Éditions Protégez-vous,2020,380000,Publishing,Unknown
,,,,,
